index,count f,candidates f,True_Value f,count g,candidates g,True_Value g
96,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
97,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
98,1,"(0,)","(0,)",1,"(1,)","(1,)"
99,1,"(0,)","(0,)",1,"(0,)","(0,)"
100,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
101,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
102,1,"(0,)","(0,)",3,"(-1, 0, 5)","(0,)"
103,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
104,1,"(2,)","(2,)",1,"(0,)","(0,)"
105,1,"(0,)","(0,)",1,"(0,)","(0,)"
106,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
107,1,"(0,)","(0,)",1,"(1,)","(1,)"
108,1,"(0,)","(0,)",1,"(0,)","(0,)"
109,1,"(1,)","(1,)",1,"(0,)","(0,)"
110,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
111,1,"(0,)","(0,)",1,"(0,)","(0,)"
112,1,"(1,)","(1,)",4,"(-7, -1, 0, 7)","(0,)"
113,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
114,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
115,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
116,3,"(-6, -1, 6)","(-1,)",1,"(-3,)","(-3,)"
117,1,"(0,)","(0,)",1,"(2,)","(2,)"
118,1,"(1,)","(1,)",1,"(2,)","(2,)"
119,1,"(0,)","(0,)",1,"(1,)","(1,)"
120,1,"(1,)","(1,)",1,"(2,)","(2,)"
121,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
122,1,"(0,)","(0,)",1,"(1,)","(1,)"
123,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
124,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
125,1,"(-2,)","(-2,)",4,"(-1, 0, 1, 3)","(1,)"
126,1,"(0,)","(0,)",8,"(-10, -6, -4, -1, 0, 3, 5, 7)","(-1,)"
127,7,"(-9, -4, -3, -2, 6, 7, 9)","(-2,)",1,"(0,)","(0,)"
128,1,"(0,)","(0,)",1,"(1,)","(1,)"
129,1,"(0,)","(0,)",1,"(2,)","(2,)"
130,1,"(-2,)","(-2,)",1,"(-2,)","(-2,)"
131,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
132,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
133,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
134,1,"(0,)","(0,)",1,"(0,)","(0,)"
135,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
136,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
137,1,"(2,)","(2,)",1,"(1,)","(1,)"
138,1,"(0,)","(0,)",1,"(1,)","(1,)"
139,6,"(-5, -1, 0, 2, 3, 6)","(0,)",1,"(0,)","(0,)"
140,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
141,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
142,1,"(1,)","(1,)",1,"(0,)","(0,)"
143,1,"(1,)","(1,)",1,"(1,)","(1,)"
144,1,"(0,)","(0,)",1,"(0,)","(0,)"
145,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
146,1,"(1,)","(1,)",1,"(1,)","(1,)"
147,1,"(0,)","(0,)",1,"(2,)","(2,)"
148,1,"(0,)","(0,)",1,"(0,)","(0,)"
149,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
150,1,"(1,)","(1,)",1,"(2,)","(2,)"
151,1,"(0,)","(0,)",1,"(1,)","(1,)"
152,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
153,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
154,1,"(2,)","(2,)",1,"(3,)","(3,)"
155,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
156,1,"(0,)","(0,)",1,"(0,)","(0,)"
157,1,"(2,)","(2,)",1,"(0,)","(0,)"
158,4,"(-3, -2, -1, 6)","(-1,)",1,"(0,)","(0,)"
159,1,"(0,)","(0,)",1,"(0,)","(0,)"
160,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
161,1,"(2,)","(2,)",1,"(2,)","(2,)"
162,13,"(-10, -7, -6, -3, -2, -1, 0, 1, 3, 4, 5, 6, 9)","(-1,)",1,"(1,)","(1,)"
163,1,"(0,)","(0,)",1,"(2,)","(2,)"
164,13,"(-9, -8, -7, -5, -4, -1, 0, 1, 2, 3, 4, 5, 7)","(1,)",1,"(1,)","(1,)"
165,1,"(1,)","(1,)",1,"(0,)","(0,)"
166,1,"(1,)","(1,)",1,"(1,)","(1,)"
167,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
168,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
169,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
170,1,"(0,)","(0,)",1,"(0,)","(0,)"
171,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
172,1,"(0,)","(0,)",1,"(1,)","(1,)"
173,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
174,1,"(1,)","(1,)",1,"(1,)","(1,)"
175,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
176,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
177,1,"(0,)","(0,)",3,"(-6, -1, 5)","(-1,)"
178,1,"(3,)","(3,)",1,"(2,)","(2,)"
179,5,"(-10, -8, -3, -1, 5)","(-1,)",1,"(-2,)","(-2,)"
180,1,"(-1,)","(-1,)",6,"(-5, -4, -3, -2, 4, 6)","(-3,)"
181,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
182,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
183,1,"(2,)","(2,)",1,"(0,)","(0,)"
184,1,"(0,)","(0,)",1,"(0,)","(0,)"
185,1,"(0,)","(0,)",1,"(2,)","(2,)"
186,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
187,1,"(2,)","(2,)",1,"(1,)","(1,)"
188,1,"(1,)","(1,)",1,"(0,)","(0,)"
189,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
190,1,"(0,)","(0,)",6,"(-6, -5, -2, 2, 3, 6)","(-2,)"
191,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
192,1,"(0,)","(0,)",1,"(0,)","(0,)"
193,1,"(-1,)","(-1,)",8,"(-9, -8, -7, -1, 1, 2, 3, 5)","(-1,)"
194,16,"(-10, -9, -7, -6, -5, -3, -2, -1, 0, 1, 2, 3, 4, 6, 9, 10)","(1,)",1,"(0,)","(0,)"
195,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
196,14,"(-10, -7, -5, -4, -3, -2, -1, 1, 2, 3, 4, 5, 6, 7)","(-1,)",1,"(-2,)","(-2,)"
197,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
198,1,"(2,)","(2,)",1,"(0,)","(0,)"
199,1,"(1,)","(1,)",1,"(0,)","(0,)"
200,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
201,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
202,1,"(1,)","(1,)",1,"(1,)","(1,)"
203,1,"(-1,)","(-1,)",9,"(-10, -6, 0, 1, 3, 5, 6, 7, 9)","(0,)"
204,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
205,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
206,5,"(-7, -5, -4, -1, 10)","(-1,)",1,"(-1,)","(-1,)"
207,1,"(0,)","(0,)",1,"(0,)","(0,)"
208,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
209,6,"(-9, -6, 1, 3, 7, 8)","(1,)",1,"(0,)","(0,)"
210,1,"(0,)","(0,)",1,"(-4,)","(-4,)"
211,1,"(1,)","(1,)",1,"(1,)","(1,)"
212,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
213,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
214,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
215,1,"(1,)","(1,)",1,"(0,)","(0,)"
216,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
217,1,"(1,)","(1,)",1,"(1,)","(1,)"
218,1,"(1,)","(1,)",1,"(1,)","(1,)"
219,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
220,1,"(-1,)","(-1,)",5,"(-2, 0, 2, 4, 8)","(0,)"
221,1,"(-1,)","(-1,)",4,"(-2, -1, 0, 7)","(0,)"
222,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
223,1,"(0,)","(0,)",1,"(0,)","(0,)"
224,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
225,1,"(1,)","(1,)",5,"(-7, -5, -3, -2, 1)","(-2,)"
226,1,"(0,)","(0,)",6,"(-4, -2, 1, 2, 3, 5)","(2,)"
227,1,"(0,)","(0,)",1,"(3,)","(3,)"
228,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
229,4,"(-7, -3, -2, 4)","(-3,)",1,"(0,)","(0,)"
230,8,"(-7, -6, -3, -2, 0, 3, 5, 7)","(0,)",1,"(0,)","(0,)"
231,1,"(0,)","(0,)",1,"(1,)","(1,)"
232,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
233,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
234,1,"(-1,)","(-1,)",1,"(3,)","(3,)"
235,1,"(2,)","(2,)",1,"(0,)","(0,)"
236,1,"(2,)","(2,)",1,"(0,)","(0,)"
237,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
238,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
239,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
240,1,"(0,)","(0,)",1,"(0,)","(0,)"
241,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
242,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
243,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
244,1,"(2,)","(2,)",1,"(0,)","(0,)"
245,1,"(-1,)","(-1,)",1,"(2,)","(2,)"
246,1,"(0,)","(0,)",1,"(0,)","(0,)"
247,3,"(-5, 0, 6)","(0,)",1,"(2,)","(2,)"
248,8,"(-7, -6, -5, -2, -1, 3, 4, 6)","(3,)",1,"(-1,)","(-1,)"
249,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
250,5,"(-5, -1, 2, 3, 7)","(-1,)",1,"(0,)","(0,)"
251,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
252,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
253,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
254,1,"(1,)","(1,)",1,"(0,)","(0,)"
255,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
256,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
257,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
258,1,"(2,)","(2,)",1,"(0,)","(0,)"
259,1,"(0,)","(0,)",1,"(1,)","(1,)"
260,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
261,1,"(0,)","(0,)",1,"(0,)","(0,)"
262,1,"(1,)","(1,)",1,"(1,)","(1,)"
263,1,"(0,)","(0,)",1,"(-3,)","(-3,)"
264,1,"(0,)","(0,)",1,"(2,)","(2,)"
265,1,"(0,)","(0,)",1,"(0,)","(0,)"
266,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
267,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
268,1,"(-2,)","(-2,)",1,"(0,)","(0,)"
269,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
270,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
271,6,"(-8, -3, 0, 1, 7, 8)","(0,)",1,"(-2,)","(-2,)"
272,6,"(-6, -4, -1, 0, 1, 6)","(0,)",1,"(2,)","(2,)"
273,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
274,1,"(-1,)","(-1,)",5,"(-6, -1, 1, 2, 5)","(1,)"
275,1,"(0,)","(0,)",1,"(0,)","(0,)"
276,6,"(-7, -6, -2, -1, 1, 3)","(1,)",1,"(-3,)","(-3,)"
277,1,"(-2,)","(-2,)",1,"(1,)","(1,)"
278,1,"(-1,)","(-1,)",1,"(-3,)","(-3,)"
279,1,"(1,)","(1,)",1,"(1,)","(1,)"
280,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
281,1,"(2,)","(2,)",1,"(2,)","(2,)"
282,1,"(-2,)","(-2,)",1,"(2,)","(2,)"
283,1,"(0,)","(0,)",1,"(0,)","(0,)"
284,1,"(2,)","(2,)",6,"(-9, -6, -4, 0, 3, 7)","(0,)"
285,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
286,1,"(1,)","(1,)",1,"(-2,)","(-2,)"
287,1,"(2,)","(2,)",1,"(0,)","(0,)"
288,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
289,1,"(0,)","(0,)",1,"(0,)","(0,)"
290,1,"(2,)","(2,)",1,"(2,)","(2,)"
291,1,"(-4,)","(-4,)",1,"(3,)","(3,)"
292,1,"(0,)","(0,)",1,"(1,)","(1,)"
293,1,"(-2,)","(-2,)",8,"(-5, -2, 0, 1, 3, 4, 6, 8)","(1,)"
294,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
295,1,"(0,)","(0,)",1,"(2,)","(2,)"
296,1,"(1,)","(1,)",1,"(0,)","(0,)"
297,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
298,1,"(-1,)","(-1,)",1,"(-2,)","(-2,)"
299,1,"(0,)","(0,)",1,"(0,)","(0,)"
300,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
301,1,"(0,)","(0,)",1,"(1,)","(1,)"
302,6,"(-6, -3, 1, 3, 5, 6)","(1,)",1,"(-2,)","(-2,)"
303,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
304,1,"(-1,)","(-1,)",5,"(-6, 2, 6, 7, 8)","(2,)"
305,1,"(2,)","(2,)",1,"(0,)","(0,)"
306,1,"(2,)","(2,)",1,"(1,)","(1,)"
307,1,"(0,)","(0,)",1,"(0,)","(0,)"
308,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
309,1,"(0,)","(0,)",1,"(0,)","(0,)"
