index,old_candidates,pruned_candidates
291,[3],[3]
292,[1],[1]
293,[0],[0]
294,[-1],[-1]
295,[2],[2]
296,[0],[0]
297,[0],[0]
298,[-2],[-2]
299,[0],[0]
300,[-1],[-1]
301,[1],[1]
302,[-2],[-2]
303,[-1],[-1]
304,"[-6, 2, 6, 7, 8]","[-6, 2, 6, 7, 8]"
305,[0],[0]
306,[1],[1]
307,[0],[0]
308,[-1],[-1]
309,[0],[0]
310,[0],[0]
311,[-2],[-2]
312,[-1],[-1]
313,[0],[0]
314,[0],[0]
315,[-1],[-1]
316,[0],[0]
317,[1],[1]
318,[-2],[-2]
319,[3],[3]
320,[-1],[-1]
321,[2],[2]
322,[-1],[-1]
323,[0],[0]
324,[0],[0]
325,[2],[2]
326,[-1],[-1]
327,[1],[1]
328,[0],[0]
329,[1],[1]
330,[0],[0]
331,[-2],[-2]
332,[-1],[-1]
333,[2],[2]
334,[-1],[-1]
335,[-3],[-3]
336,[-2],[-2]
337,[0],[0]
338,[1],[1]
339,[0],[0]
340,[1],[1]
341,[0],[0]
342,[-1],[-1]
343,[-2],[-2]
344,[0],[0]
345,[0],[0]
346,[2],[2]
347,[0],[0]
348,[-2],[-2]
349,[-1],[-1]
350,[1],[1]
351,[-1],[-1]
352,[0],[0]
353,[-1],[-1]
354,[0],[0]
355,[-2],[-2]
356,[-1],[-1]
357,[-1],[-1]
358,[1],[1]
359,[0],[0]
360,[-1],[-1]
361,[0],[0]
362,[0],[0]
363,[2],[2]
364,[1],[1]
365,[-1],[-1]
366,[0],[0]
367,[-1],[-1]
368,[2],[2]
369,[2],[2]
370,"[-6, -2, 1, 5, 7]","[-6, -2, 1, 5, 7]"
371,[2],[2]
372,[0],[0]
373,[-1],[-1]
374,[-2],[-2]
375,[-1],[-1]
376,[0],[0]
377,[-3],[-3]
378,[2],[2]
379,[0],[0]
380,[-2],[-2]
381,[-1],[-1]
382,[0],[0]
383,[-1],[-1]
384,[0],[0]
385,[0],[0]
386,[1],[1]
387,[2],[2]
388,[1],[1]
389,[0],[0]
390,[-1],[-1]
391,[1],[1]
392,[0],[0]
393,[1],[1]
394,[0],[0]
395,[-2],[-2]
396,[1],[1]
397,[-3],[-3]
398,[-2],[-2]
399,[-1],[-1]
400,[-1],[-1]
401,[-1],[-1]
402,[2],[2]
403,[1],[1]
404,[-2],[-2]
405,[-2],[-2]
406,[0],[0]
407,"[-10, -7, -4, -3, -2, 1, 4, 7]","[-2, 1]"
408,[0],[0]
409,[0],[0]
410,[2],[2]
411,[-1],[-1]
412,[2],[2]
413,[0],[0]
414,[-2],[-2]
415,[1],[1]
416,[1],[1]
417,[-2],[-2]
418,[1],[1]
419,[0],[0]
420,[2],[2]
421,[1],[1]
422,[2],[2]
423,[0],[0]
424,[1],[1]
425,[1],[1]
426,[1],[1]
427,[3],[3]
428,[-1],[-1]
429,[1],[1]
430,[1],[1]
431,[0],[0]
432,[-1],[-1]
433,[-3],[-3]
434,[0],[0]
435,[0],[0]
436,[0],[0]
437,[1],[1]
438,[-1],[-1]
439,[0],[0]
440,[1],[1]
441,[-1],[-1]
442,[1],[1]
443,[-1],[-1]
444,[-2],[-2]
445,"[-10, -5, -1, 2, 3, 6]",[-1]
446,[-2],[-2]
447,[4],[4]
448,[0],[0]
449,[0],[0]
450,[0],[0]
451,[1],[1]
452,[-1],[-1]
453,[1],[1]
454,[0],[0]
455,[-1],[-1]
456,[-1],[-1]
457,[0],[0]
458,[-1],[-1]
459,[0],[0]
460,[0],[0]
461,[0],[0]
462,[-1],[-1]
463,[-1],[-1]
464,[-1],[-1]
465,[3],[3]
466,[1],[1]
467,[0],[0]
468,[0],[0]
469,[0],[0]
470,[2],[2]
471,[-1],[-1]
472,[-1],[-1]
473,[-1],[-1]
474,[-1],[-1]
475,[-1],[-1]
476,[-1],[-1]
477,[0],[0]
478,[-2],[-2]
479,[1],[1]
480,[-2],[-2]
481,[-1],[-1]
482,[-1],[-1]
483,"[-3, -1, 1, 2, 4]",[1]
484,[-1],[-1]
485,[1],[1]
486,[-3],[-3]
487,[0],[0]
488,[0],[0]
489,[2],[2]
490,[0],[0]
491,[0],[0]
492,[0],[0]
493,[0],[0]
494,[-1],[-1]
495,[-1],[-1]
496,[-1],[-1]
497,[-1],[-1]
498,[-1],[-1]
499,[0],[0]
500,[1],[1]
501,[-1],[-1]
502,[0],[0]
503,[-1],[-1]
504,[-1],[-1]
505,[1],[1]
506,"[-7, -6, -2, 1, 7]","[-7, -6, -2, 1, 7]"
507,[0],[0]
508,"[-8, -3, -1, 1, 6]",[1]
509,[0],[0]
510,[-1],[-1]
511,[0],[0]
